lig1,lig2,Label,Label1,Label2,dir_1,dir_2,pre
ligand_0.pkl,ligand_1033.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1033.pkl,0.8245500326156616
ligand_0.pkl,ligand_1034.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1034.pkl,0.9956086874008179
ligand_0.pkl,ligand_1035.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1035.pkl,0.9300676584243774
ligand_0.pkl,ligand_1036.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1036.pkl,0.991108775138855
ligand_0.pkl,ligand_1037.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1037.pkl,0.8803949356079102
ligand_0.pkl,ligand_1038.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1038.pkl,0.8483282923698425
ligand_0.pkl,ligand_1039.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1039.pkl,0.9690309762954712
ligand_0.pkl,ligand_104.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_104.pkl,0.880271852016449
ligand_0.pkl,ligand_1040.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1040.pkl,0.9236429929733276
ligand_0.pkl,ligand_1041.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1041.pkl,0.8054219484329224
ligand_0.pkl,ligand_1042.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1042.pkl,0.958631157875061
ligand_0.pkl,ligand_1043.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1043.pkl,0.9789422750473022
ligand_0.pkl,ligand_1044.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1044.pkl,0.9818140268325806
ligand_0.pkl,ligand_1045.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\proQ\pickles\ligand_0.pkl,d:\PBCNet2.0\case\proQ\pickles\ligand_1045.pkl,0.9202374219894409
